epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,13172.4,0.9695,0.7231,1.41211,0.79044,0.69964,0.77462,0.5021,1.18467,0.6874,1.66316,0.0041095,0.0041095,0.0041095
121,13278.7,0.96392,0.72472,1.40804,0.78967,0.69921,0.7746,0.50231,1.18503,0.68759,1.66357,0.00406,0.00406,0.00406
122,13384.5,0.96414,0.71825,1.41161,0.78534,0.70252,0.77433,0.50244,1.18529,0.68742,1.66403,0.0040105,0.0040105,0.0040105
123,13490.6,0.96243,0.72857,1.41277,0.78404,0.70252,0.77474,0.50256,1.18566,0.68747,1.66452,0.003961,0.003961,0.003961
124,13597,0.96457,0.71531,1.4084,0.78401,0.70279,0.77473,0.50283,1.18582,0.68751,1.66505,0.0039115,0.0039115,0.0039115
125,13703.3,0.96471,0.72084,1.41154,0.78385,0.7036,0.77507,0.50288,1.18593,0.68743,1.66498,0.003862,0.003862,0.003862
126,13809.5,0.95642,0.70554,1.40608,0.78322,0.70471,0.77478,0.50297,1.18591,0.68721,1.66497,0.0038125,0.0038125,0.0038125
127,13915.7,0.94518,0.69727,1.39867,0.78362,0.70449,0.7751,0.50295,1.18654,0.68681,1.66544,0.003763,0.003763,0.003763
128,14022.1,0.95491,0.71097,1.40407,0.78412,0.70555,0.77522,0.50248,1.18695,0.68673,1.66586,0.0037135,0.0037135,0.0037135
129,14128.9,0.94524,0.7076,1.40191,0.7837,0.7037,0.7752,0.50287,1.18726,0.68661,1.66633,0.003664,0.003664,0.003664
130,14235.1,0.95749,0.71087,1.40162,0.78441,0.703,0.77457,0.50215,1.18742,0.68693,1.66641,0.0036145,0.0036145,0.0036145
131,14341.1,0.94397,0.70653,1.39662,0.78736,0.70207,0.77507,0.50207,1.18767,0.68664,1.66683,0.003565,0.003565,0.003565
132,14447.3,0.94631,0.70434,1.40024,0.78934,0.70159,0.77524,0.50259,1.18782,0.68676,1.66712,0.0035155,0.0035155,0.0035155
133,14553.7,0.94349,0.69611,1.39792,0.78778,0.70118,0.77504,0.50234,1.18814,0.6864,1.66739,0.003466,0.003466,0.003466
134,14660,0.94676,0.69822,1.40237,0.79043,0.69888,0.77511,0.50237,1.18826,0.68578,1.66758,0.0034165,0.0034165,0.0034165
